Acrosphaera cyrtodon
Acrosphaera lappacea
Acrosphaera murrayana
Acrosphaera spinosa
Acruliammina antarctica
Actinella punctata
Actinobolina bolus
Actinobolina multinucleata
Actinobolina piriformis
Actinobolina radians
Actinobolina rotundus
Actinobolina smalli
Actinobolina vorax
Actinobolina wenrichii
Actinobolus aculeatus
Actinobolus multinucleata
Actinobolus piriformis
Actinobolus rotundus
Actinobolus smalli
Actinobolus sulcatus
Actinobolus wenrichii
Actinocyclus actinochilus
Actinocyclus alienus
Actinocyclus bifrons
Actinocyclus curvatulus
Actinocyclus ehrenbergii
Actinocyclus normanii
Actinocyclus octonarius
Actinocyclus ralfsii
Actinocyclus roperi
Actinocyclus splendens
Actinomma antarcticum
Actinomma arcadophorum
Actinomma boreale
Actinomma capillaceum
Actinomma delicatulum
Actinomma haysi
Actinomma leptodermum
Actinomma medianum
Actinomma sol
Actinomma trinacria
Actinophrys sol
Actinophrys vesiculata
Actinoptychus adriaticus
Actinoptychus senarius
Actinoptychus splendens
Actinoptychus undulatus
Actinoptychus vulgaris
Actinorhabdos trichocystifera
Actinosphaera acanthophora
Actinosphaera capillacea
Actinosphaera tenella
Acupeina triperforata
Adelosina bicornis
Adelosina brongnartii
Adelosina carinatastriata
Adelosina cliarensis
Adelosina colomi
Adelosina depressa
Adelosina dubia
Adelosina dutemplei
Adelosina elegans
Adelosina ferussacii
Adelosina inconstans
Adelosina intricata
Adelosina italica
Adelosina jullieni
Adelosina laysanensis
Adelosina litoralis
Adelosina longirostra
Adelosina lyra
Adelosina mediterranensis
Adelosina milletti
Adelosina partschii
Adelosina pascuaensis
Adelosina phoenicia
Adelosina polygonia
Adelosina pulchella
Adelosina reticulata
Adelosina semistriata
Adelosina soldanii
Adelosina striata
Adelosina undulata
Adelosina vesicularis
Adelosina williamsoni
Adercotryma glomeratum
Adercotryma wrighti
Adlafia aquaeductae
Adlafia brockmannii
Adlafia bryophila
Adlafia minuscula
Adlafia multnomahii
Adlafia suchlandtii
Aduncuperistomatus tejerai
Aegyria compressa
Aegyria cristata
Aegyria fluviatilis
Aegyria marioni
Aegyria oliva
Aegyria ovalis
Aegyria peneckei
Aegyria pusilla
Aegyria reesi
Aegyria semilunaris
Aegyriana minuta
Aegyriana paroliva
Aegyriana rostellum
Aeolomorphelloides xiamensis
Affinetrina alcidi
Affinetrina planciana
Affinetrina quadrilateralis
Afroamphisiella abdita
Afroamphisiella multinucleata
Afrophrya macrostoma
Afrothigma katashimai
Afrothrix darbyshirei
Afrothrix multinucleata
Aggerostramen rustica
Agglutinella arenata
Agglutinella compressa
Agglutinella reinemunde
Agglutinella robusta
Agglutinella soriformis
Alabamina achanes
Alabamina differens
Alabamina heyae
Alabamina japonica
Alabamina multicamerata
Alabamina resigae
Alabaminella weddellensis
Alabaminoides mitis
Alanwoodia campanaeformis
Alanwoodia carinata
Alanwoodia irregularis
Albaretia maxima
Albaretia terroni
Albugo achyranthis
Albugo aechmantherae
Albugo arenosa
Albugo austroafricana
Albugo candida
Albugo capparis
Albugo chardonii
Albugo cladothricis
Albugo cynoglossi
Albugo eomeconis
Albugo eurotiae
Albugo evansii
Albugo evolvuli
Albugo froelichiae
Albugo gomphrenae
Albugo hesleri
Albugo hohenheimia
Albugo hyoscyami
Albugo ipomoeae-aquaticae
Albugo ipomoeae-hardwickii
Albugo ipomoeae-panduratae
Albugo ipomoeae-pes-caprae
Albugo keeneri
Albugo koreana
Albugo laibachii
Albugo leimonia
Albugo lepidii
Albugo lepigoni
Albugo macalpineana
Albugo mangenotii
Albugo mesembryanthemi
Albugo minor
Albugo molluginis
Albugo pes-tigridis
Albugo pileae
Albugo polygoni
Albugo portulacearum
Albugo pratapi
Albugo pulverulentus
Albugo quadrata
Albugo resedae
Albugo rorippae
Albugo sibirica
Albugo solivae
Albugo solivarum
Albugo thlaspeos
Albugo tillaeae
Albugo trianthemae
Albugo tropica
Albugo voglmayrii
Albugo wasabiae
Alectinella elongata
Alexanderina viejoensis
Alfredosilvestris levinsoni
Alfredosilvestris pauciloculata
Alinostoma burkli
Alinostoma multivacuolatum
Alinostoma polyvacuolatum
Allanhancockia bisellaris
Allanhancockia chathamensis
Allanhancockia compacta
Allanhancockia curvitubulata
Allanhancockia lineosubtilis
Allanhancockia luculenta
Allanhancockia meijensis
Allanhancockia prolata
Allanhancockia semisymmetrica
Allanhancockia spiniformis
Allanhancockia subglobosa
Allantosoma brevicorniger
Allantosoma cucumis
Allantosoma intestinale
Allantosoma japonensis
Allantosoma lineare
Allassoida schlumbergerii
Alliatina excentrica
Alliatina nitida
Alliatina primitiva
Alliatina variabilis
Alliatinella bikiniensis
Alliatinella differens
Alliatinella fragilis
Alliatinella panayensis
Alliatinella simplissima
Alliatinella taguscovensis
Allogromia lagenoides
Allogromia laticollaris
Allogromia ledanteci
Allogromia mollis
Allogromia ovoidea
Allogromia verbrugghei
Alloiozona ampulla
Alloiozona triozona
Allomorphina fragilis
Allomorphina lamegoi
Allomorphina pacifica
Allosphaerium caudatum
Allosphaerium convexum
Allosphaerium granulosum
Allosphaerium isseli
Allosphaerium palustris
Allosphaerium paraconvexa
Allosphaerium sulcatum
Allotricha curdsi
Allotricha mollis
Almophrya almae
Almophrya bivacuolata
Almophrya laterovacuolata
Almophrya mediovacuolata
Alterammina alternans
Althornia crouchii
Alveolinella quoyi
Alveolophragmium becki
Alveolophragmium diversum
Alveolophragmium orbiculatum
Alveolophragmium zealandicum
Ambitropus evax
Amieta prolifera
Ammoastuta inepta
Ammoastuta salsa
Ammobaculinus recurvus
Ammobaculites agglutinans
Ammobaculites akabiraensis
Ammobaculites albidus
Ammobaculites alexanderi
Ammobaculites amarus
Ammobaculites arenaria
Ammobaculites arenata
Ammobaculites baculusalsus
Ammobaculites balkwilli
Ammobaculites bargmanni
Ammobaculites barwonensis
Ammobaculites bathyalis
Ammobaculites calcareus
Ammobaculites crassaformis
Ammobaculites crassus
Ammobaculites cubensis
Ammobaculites cylindricus
Ammobaculites dilatatus
Ammobaculites echinatus
Ammobaculites exiguus
Ammobaculites exilis
Ammobaculites filiformis
Ammobaculites formosensis
Ammobaculites fragmentaria
Ammobaculites gyrensis
Ammobaculites howelli
Ammobaculites josephi
Ammobaculites lituolinoideum
Ammobaculites madefactus
Ammobaculites microformis
Ammobaculites neusensis
Ammobaculites obliquus
Ammobaculites pamlicoensis
Ammobaculites paradoxus
Ammobaculites pauperculus
Ammobaculites ponticus
Ammobaculites prostomum
Ammobaculites pseudominimus
Ammobaculites reophaciformis
Ammobaculites robustus
Ammobaculites rostratus
Ammobaculites subcatenulatus
Ammobaculites texana
Ammobaculites tobagoensis
Ammobaculites villosus
Ammobaculites yardiensis
Ammobaculites yumotoensis
Ammobaculoides bruneiensis
Ammobaculoides troelseni
Ammocibicides proteus
Ammocibicoides notalna
Ammodiscellites prolixus
Ammodiscoides lavelaensis
Ammodiscoides turbinata
Ammodiscus anguillae
Ammodiscus antarcticus
Ammodiscus anulatus
Ammodiscus consonus
Ammodiscus constrictus
Ammodiscus evolutus
Ammodiscus exsertus
Ammodiscus flavidus
Ammodiscus gullmarensis
Ammodiscus hoeglundi
Ammodiscus incertus
Ammodiscus intermedius
Ammodiscus mestayeri
Ammodiscus millettianus
Ammodiscus minimus
Ammodiscus minutissimus
Ammodiscus perversus
Ammodiscus planorbis
Ammodiscus profundissimus
Ammodiscus reesi
Ammodiscus rhumbleri
Ammodiscus siliceus
Ammodiscus slevicus
Ammodiscus tenuis
Ammoflintina argentea
Ammoflintina trihedra
Ammoglobigerina bellingshauseni
Ammoglobigerina globigeriniformis
Ammoglobigerina globulosa
Ammoglobigerina latestoma
Ammoglobigerina pygmaea
Ammoglobigerina shannoni
Ammogloborotalia stellaris
Ammolagena clavata
Ammolagena contorta
Ammolagena minuta
Ammomarginulina catenulata
Ammomarginulina ensis
Ammomarginulina recurva
Ammomarginulina sandiegoensis
Ammomarginulina tenerissima
Ammomarginulina troptunensis
Ammomassilina alveoliniformis
Ammomassilina clypeoarenula
Ammonia aberdoveyensis
Ammonia agoiensis
Ammonia angulata
Ammonia aomoriensis
Ammonia aoteana
Ammonia ariakensis
Ammonia asanoi
Ammonia avalonensis
Ammonia batava
Ammonia beccarii
Ammonia capetownensis
Ammonia caucasica
Ammonia compacta
Ammonia compressa
Ammonia confertitesta
Ammonia convexa
Ammonia convexidorsa
Ammonia corallinarum
Ammonia cristobalensis
Ammonia differens
Ammonia dominicana
Ammonia faceta
Ammonia falsobeccarii
Ammonia flevensis
Ammonia gaudichaudi
Ammonia granuloumbilica
Ammonia inflata
Ammonia irridescens
Ammonia jacksoni
Ammonia japonica
Ammonia juliae
Ammonia kawachiensis
Ammonia ketienziensis
Ammonia lalibertadensis
Ammonia limbatobeccarii
Ammonia limnetes
Ammonia maremini
Ammonia maruhasii
Ammonia moroensis
Ammonia multicella
Ammonia nakamurai
Ammonia nakazatoensis
Ammonia neobeccarii
Ammonia nipponica
Ammonia novoeuxinica
Ammonia parasovica
Ammonia parkinsoniana
Ammonia pauciloculata
Ammonia paucipora
Ammonia pauperata
Ammonia penangensis
Ammonia rolshauseni
Ammonia rugulosa
Ammonia rupta
Ammonia shanghaiensis
Ammonia sobrina
Ammonia supera
Ammonia takanabensis
Ammonia tepida
Ammonia turgida
Ammonia umbilicata
Ammonia veneta
Ammopemphix arctica
Ammopemphix quadrupla
Ammoscalaria agrestiformis
Ammoscalaria compressa
Ammoscalaria ensiformis
Ammoscalaria georgescotti
Ammoscalaria pseudospiralis
Ammoscalaria runiana
Ammoscalaria tenuimargo
Ammoscalaria tenuissima
Ammosigmoilinella eximia
Ammosphaeroidina distoma
Ammosphaeroidina grandis
Ammosphaeroidina sphaeroidiniformis
Ammosphaerulina adhaerens
Ammotium angulatum
Ammotium australiense
Ammotium cassis
Ammotium directum
Ammotium fragile
Ammotium minutum
Ammotium morenoi
Ammotium multiloculatum
Ammotium pseudocassis
Ammotium stenostomum
Ammotium subdirectum
Ammotium zhanjiangense
Ammotrochoides bignoti
Ammovertellina prima
Amphibothrella enigmatica
Amphicampa mirabilis
Amphicoryna bradii
Amphicoryna camachoi
Amphicoryna cancellata
Amphicoryna candei
Amphicoryna dentalina
Amphicoryna diversiformis
Amphicoryna edwardsi
Amphicoryna falx
Amphicoryna georgechapronierei
Amphicoryna glabra
Amphicoryna hirsuta
Amphicoryna intercellularis
Amphicoryna leurodeira
Amphicoryna meringella
Amphicoryna nitida
Amphicoryna papillosa
Amphicoryna parasitica
Amphicoryna proxima
Amphicoryna roedereri
Amphicoryna sagamiensis
Amphicoryna scalaris
Amphicoryna separans
Amphicoryna soldanii
Amphicoryna substriatula
Amphifenestrella wiesneri
Amphifila marina
Amphileptiscus shii
Amphileptus acutus
Amphileptus aeschtae
Amphileptus affinis
Amphileptus agilis
Amphileptus balticus
Amphileptus barbatulus
Amphileptus bivacuolata
Amphileptus branchiarum
Amphileptus carchesi
Amphileptus carchesii
Amphileptus curvicollis
Amphileptus cygnus
Amphileptus disciformis
Amphileptus eigneri
Amphileptus elegans
Amphileptus ensiformis
Amphileptus falcatus
Amphileptus falx
Amphileptus fascicola
Amphileptus filum
Amphileptus flexilis
Amphileptus fusiformis
Amphileptus gui
Amphileptus gulosus
Amphileptus gutta
Amphileptus hirsutus
Amphileptus houi
Amphileptus incurvata
Amphileptus incurvatus
Amphileptus inquieta
Amphileptus lamella
Amphileptus lanceolatus
Amphileptus litonotiformis
Amphileptus longicollis
Amphileptus longissimicollis
Amphileptus loxophylliformis
Amphileptus marina
Amphileptus marinus
Amphileptus meleagris
Amphileptus moliger
Amphileptus monilifer
Amphileptus multinucleatus
Amphileptus muscicola
Amphileptus ovalis
Amphileptus papillosus
Amphileptus piger
Amphileptus pleurosigma
Amphileptus pleurosoma
Amphileptus plurivacuolatus
Amphileptus polymicronuclei
Amphileptus proceroformis
Amphileptus procerus
Amphileptus punctatus
Amphileptus quadrinucleatus
Amphileptus rotunda
Amphileptus rotundus
Amphileptus shii
Amphileptus sikorai
Amphileptus sphagni
Amphileptus sphagnis
Amphileptus spirostomiformis
Amphileptus strictus
Amphileptus teres
Amphileptus truncatus
Amphileptus voracus
Amphileptus vorax
Amphileptus yuianus
Amphimelissa setosa
Amphiplecta acrostoma
Amphipleura arctica
Amphipleura artica
Amphipleura kriegeriana
Amphipleura lindheimeri
Amphipleura micans
Amphipleura pellucida
Amphipleura ruitans
Amphipleura rutilans
Amphiprora conciliana
Amphiprora constricta
Amphiprora costata
Amphiprora decussata
Amphiprora formosa
Amphiprora gigantea
Amphiprora hyalina
Amphiprora hyperborea
Amphiprora incisa
Amphiprora kjellmanii
Amphiprora nereis
Amphiprora similis
Amphiprora sulcata
Amphiprora surirelloides
Amphirhopalum straussii
Amphirhopalum ypsilon
Amphisia capitata
Amphisia crassa
Amphisia gibba
Amphisia lacazei
Amphisia marioni
Amphisia micans
Amphisia multiseta
Amphisia oculata
Amphisia pernix
Amphisia piscis
Amphisia velox
Amphisiella annulata
Amphisiella arenicola
Amphisiella australis
Amphisiella capitata
Amphisiella illuvialis
Amphisiella kihni
Amphisiella lithophora
Amphisiella marioni
Amphisiella milnei
Amphisiella oblonga
Amphisiella oscensis
Amphisiella ovalis
Amphisiella strenua
Amphisiella thiophaga
Amphisiella turanica
Amphisiellides atypicus
Amphisorus hemprichii
Amphisorus kudakajimensis
Amphisorus sauronesensis
Amphisphaera cristata
Amphispyris reticulata
Amphista acuta
Amphista crassa
Amphistegina antillarum
Amphistegina bicirculata
Amphistegina bilobata
Amphistegina foveolata
Amphistegina gibba
Amphistegina gibbosa
Amphistegina lessonii
Amphistegina lobifera
Amphistegina maculata
Amphistegina madagascariensis
Amphistegina papillosa
Amphistegina quoyi
Amphistegina radiata
Amphistegina trilobata
Amphitholus acanthometra
Amphitrema rhenanum
Amphitrema wrightianum
Amphora acutiscula
Amphora acutiuscula
Amphora altaica
