Badhamia dubia
Badhamia foliicola
Badhamia formosana
Badhamia gigantospora
Badhamia goniospora
Badhamia grandispora
Badhamia iowensis
Badhamia lilacina
Badhamia macrocarpa
Badhamia macrospora
Badhamia melanospora
Badhamia nitens
Badhamia ovispora
Badhamia panicea
Badhamia papaveracea
Badhamia populina
Badhamia rhytidosperma
Badhamia rugulosa
Badhamia spinispora
Badhamia utricularis
Badhamia verrucospora
Badhamia versicolor
Badhamia viridescens
Badhamiopsis ainoae
Badhamiopsis cavifera
Badhamiopsis nucleata
Baileyi mutabilis
Barbeyella minutissima
Becnelia sigarae
Berwaldia schaefernai
Berwaldia singularis
Binucleata daphniae
Binucleospora elongata
Bohuslavia asterias
Brefeldia maxima
Bryonosema plumatellae
Bryonosema tuftyi
Burenella dimorpha
Burkea eisenia
Burkea gatesi
Buxtehudea scaniae
Calomyxa metallica
Calomyxa synspora
Calonema aureum
Calonema cornuvioides
Calonema dissipatum
Calonema foliicola
Calonema gansuense
Calonema geesinkii
Campanulospora denticulata
Canningia spinidentis
Canningia tomici
Cashia angelica
Cashia limacoides
Caudospora alaskensis
Caudospora brevidauda
Caudospora nasiae
Caudospora palustris
Caudospora pennsylvanica
Caudospora polymorpha
Caudospora simulii
Cavostelium apophysatum
Centropyxis aculeata
Ceratiomyxa fruticulosa
Ceratiomyxa hemisphaerica
Ceratiomyxa morchella
Ceratiomyxa sphaerosperma
Ceratiomyxella tahitiensis
Cercomonas crassicauda
Cercomonas laciniaegerens
Cercomonas longicauda
Chaos carolinense
Chaos illinoisense
Chapmanium cirritus
Chapmanium macrocystis
Chapmanium nepae
Chytridiopsis aquaticus
Chytridiopsis clerci
Chytridiopsis hahni
Chytridiopsis pachyiuli
Chytridiopsis schizophylli
Chytridiopsis schneideri
Chytridiopsis socius
Chytridiopsis trichopterae
Chytridiopsis typographi
Chytridiopsis variabilis
Chytridiopsis xenoboli
Ciliatosporidium platyophryae
Clastoderma debaryanum
Clastoderma microcarpum
Clastoderma pachypus
Clastostelium recurvatum
Clypeolina marginata
Cocconema octospora
Coccospora stenopelmati
Coenonia denticulata
Coleaspis coronata
Collaria arcyrionema
Collaria biasperospora
Collaria lurida
Collaria nigricapillitia
Collaria rubens
Colloderma crassipes
Colloderma macrotubulatum
Colloderma oculatum
Colloderma robustum
Comatricha afroalpina
Comatricha aggregata
Comatricha alta
Comatricha anomala
